Time,Flow,Throughput(Kbps),LossRate(%),AvgDelay(ms)
1
2
41,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
42,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
43,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
44,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
45,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
46,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
47,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
48,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
49,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
50,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
51,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
