time,domain,iface,event,step,txid,ip,mac,ssid,snr,hops,note
28.058351,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-45.777355,1,native PHY beacon; role=peer
28.160787,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-38.150591,1,native PHY beacon; role=peer
28.161529,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-46.070688,0,native PHY beacon; role=gateway
28.263142,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-38.100542,1,native PHY beacon; role=peer
28.365551,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-45.905240,0,native PHY beacon; role=gateway
28.570351,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-45.746630,0,native PHY beacon; role=gateway
28.672787,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-45.670311,0,native PHY beacon; role=gateway
28.775142,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-45.596171,0,native PHY beacon; role=gateway
30.000000,3,ADHOC,SELECTED,Selected,0,10.100.3.1,,Adhoc-C,-42.954862,0,score=0.558877;algorithm=mobility-aware-predictive-madm;predicted_dbm=-40.572;trend_dbps=1.58856;hysteresis=0.0122082;ttt_s=0.809404;emergency=0;reason=candidate passed hysteresis and time-to-trigger
30.000000,1,AP,SWITCH_START,Switch Start,0,10.1.1.100,,A,-60.934889,0,AP->Adhoc
30.000000,1,STA,HANDOVER_PREPARE,Prepare,0,10.1.1.100,,A,-60.934889,0,old path retained until candidate is ready
30.000000,3,ADHOC,SWITCH_READY,Switch Ready,0,10.1.1.100,,Adhoc-C,-42.954862,1,Adhoc control path ready
30.106351,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-47.020972,1,native PHY beacon; role=peer
30.208760,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-38.908460,1,native PHY beacon; role=peer
30.311178,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-44.792373,0,native PHY beacon; role=gateway
30.413560,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-39.160718,1,native PHY beacon; role=peer
30.500000,3,ADHOC,IP_REQUEST,IP Request,2,0.0.0.0,,Adhoc-C,-42.954862,1,
30.502104,3,ADHOC,IP_OFFER,IP Offer,2,10.100.3.100,,Adhoc-C,-42.954862,1,
30.502104,3,ADHOC,CONFIGURED,Configured,0,10.100.3.100,,Adhoc-C,-42.954862,1,Adhoc interface configured
30.502104,3,ADHOC,ADD_ARP_ENTRY,Sync,0,10.100.3.100,,Adhoc-C,-42.954862,1,Controller ARP update
30.502104,3,ADHOC,DATA_SOCKET_BIND,Socket Rebind,0,10.3.1.100,,Adhoc-C,-42.954862,1,
30.502104,3,ADHOC,DATA_PLANE_ADHOC,Data Plane Switch,0,10.100.3.100,,Adhoc-C,-42.954862,1,Adhoc data plane active
30.502104,3,ADHOC,ROUTE_UPDATED,Route Updated,0,10.100.3.100,,Adhoc-C,-42.954862,1,Default route via Adhoc
30.502104,3,ADHOC,HANDOVER_COMMIT,Commit,0,10.100.3.100,,Adhoc-C,-42.954862,1,candidate configured; default route committed
30.504104,3,ADHOC,IP_CONFIRM,IP Confirm,0,10.100.3.100,,Adhoc-C,-42.954862,1,
30.515942,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-41.614863,1,native PHY beacon; role=peer
30.618342,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-39.434758,1,native PHY beacon; role=peer
